# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=16
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1962688765
# chain_id=1
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,scale,boltzman_shift
-1.87346e+86,1,1.12104e-44,1,1,0,7.50778e+86,0.128409,0.644194,0.227397,1.25719,3.72147
-1.87346e+86,0,14.3855,0,1,1,1.87346e+86,0.128409,0.644194,0.227397,1.25719,3.72147
-1.87346e+86,0,2.43117,0,1,1,1.87346e+86,0.128409,0.644194,0.227397,1.25719,3.72147
-1.87346e+86,0,0.239791,0,1,1,1.87346e+86,0.128409,0.644194,0.227397,1.25719,3.72147
-1.87346e+86,0,0.0186273,0,1,1,1.87346e+86,0.128409,0.644194,0.227397,1.25719,3.72147
-1.87346e+86,0,0.00130482,0,1,1,1.87346e+86,0.128409,0.644194,0.227397,1.25719,3.72147
-1.87346e+86,0,8.85015e-05,0,1,1,1.87346e+86,0.128409,0.644194,0.227397,1.25719,3.72147
-1.87346e+86,0,6.04912e-06,0,1,1,1.87346e+86,0.128409,0.644194,0.227397,1.25719,3.72147
-1.87346e+86,0,4.26362e-07,0,1,1,1.87346e+86,0.128409,0.644194,0.227397,1.25719,3.72147
-1.87346e+86,0,3.1403e-08,0,1,1,1.87346e+86,0.128409,0.644194,0.227397,1.25719,3.72147
-1.87346e+86,0,2.4349e-09,0,1,1,1.87346e+86,0.128409,0.644194,0.227397,1.25719,3.72147
-1.87346e+86,0,1.99502e-10,0,1,1,1.87346e+86,0.128409,0.644194,0.227397,1.25719,3.72147
