# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1396799782
# chain_id=0
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_0.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,weights.4,weights.5,weights.6,scale,boltzmann_shift
-1.03607e+109,1,8.15663e-56,1,1,0,5.82556e+109,0.0265006,0.240185,0.51444,0.0369467,0.106228,0.0756994,2.55383,2.4998
-1.03607e+109,0,14.3855,0,1,1,1.03607e+109,0.0265006,0.240185,0.51444,0.0369467,0.106228,0.0756994,2.55383,2.4998
-1.03607e+109,0,2.43117,0,1,1,1.03607e+109,0.0265006,0.240185,0.51444,0.0369467,0.106228,0.0756994,2.55383,2.4998
-1.03607e+109,0,0.239791,0,1,1,1.03607e+109,0.0265006,0.240185,0.51444,0.0369467,0.106228,0.0756994,2.55383,2.4998
-1.03607e+109,0,0.0186273,0,1,1,1.03607e+109,0.0265006,0.240185,0.51444,0.0369467,0.106228,0.0756994,2.55383,2.4998
-1.03607e+109,0,0.00130482,0,1,1,1.03607e+109,0.0265006,0.240185,0.51444,0.0369467,0.106228,0.0756994,2.55383,2.4998
-1.03607e+109,0,8.85015e-05,0,1,1,1.03607e+109,0.0265006,0.240185,0.51444,0.0369467,0.106228,0.0756994,2.55383,2.4998
-1.03607e+109,0,6.04912e-06,0,1,1,1.03607e+109,0.0265006,0.240185,0.51444,0.0369467,0.106228,0.0756994,2.55383,2.4998
-1.03607e+109,0,4.26362e-07,0,1,1,1.03607e+109,0.0265006,0.240185,0.51444,0.0369467,0.106228,0.0756994,2.55383,2.4998
-1.03607e+109,0,3.1403e-08,0,1,1,1.03607e+109,0.0265006,0.240185,0.51444,0.0369467,0.106228,0.0756994,2.55383,2.4998
