# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=0
# seed=1227645507
# chain_id=1
# iter=4000
# warmup=2000
# save_warmup=1
# thin=1
# refresh=400
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=saved_samples.txt_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,weights.1,weights.2,weights.3,scale,boltzmann_shift
-2.55302e+86,1,5.60519e-45,3,7,0,9.89887e+87,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,14.3855,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,2.43117,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,0.239791,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,0.0186273,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,0.00130482,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,8.85015e-05,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,6.04912e-06,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,4.26362e-07,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,3.1403e-08,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,2.4349e-09,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,1.99502e-10,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,1.72987e-11,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,1.58747e-12,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,1.54049e-13,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,1.57858e-14,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,1.70518e-15,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,1.93794e-16,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,2.31266e-17,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,2.89206e-18,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,3.78234e-19,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,5.16332e-20,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,7.34345e-21,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,1.08616e-21,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,1.66789e-22,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,2.65469e-23,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,4.37284e-24,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,7.44359e-25,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,1.30759e-25,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,2.36734e-26,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,4.41183e-27,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,8.45351e-28,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,1.66356e-28,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,3.35871e-29,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,6.95042e-30,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,1.47282e-30,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,3.19307e-31,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,7.0766e-32,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,1.60197e-32,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,3.70149e-33,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,8.72325e-34,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,2.09542e-34,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,5.12713e-35,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,1.2771e-35,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
-2.55302e+86,0,3.23648e-36,0,1,1,2.55302e+86,0.144318,0.1742,0.681483,0.168149,4.34463
